stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,platform_code
6999,,"Mykolo Biržiškos gimnazija","iš centro",54.72153,25.21716,https://www.stops.lt/vilnius/index.html#stop/3205,,,
6992,,"Šiaurinė st.","link žiedo",54.71497,25.21486,https://www.stops.lt/vilnius/index.html#stop/3213,,,
6993,,"Šiaurinė st.","link Rygos g.",54.71554,25.21511,https://www.stops.lt/vilnius/index.html#stop/3212,,,
7005,,"Taikos st.","iš centro",54.72126,25.22162,https://www.stops.lt/vilnius/index.html#stop/3203,,,
18975,,"Justiniškių žiedas","išlaipinimas",54.70925,25.21259,https://www.stops.lt/vilnius/index.html#stop/3215,,,
16713,,"Airių st.","link Gurių",54.65149,25.34953,https://www.stops.lt/vilnius/index.html#stop/4019,,,
16715,,"Airių st.","link centro",54.65204,25.34980,https://www.stops.lt/vilnius/index.html#stop/4024,,,
16724,,"Savičiūnų st.","link Gurių",54.65472,25.35366,https://www.stops.lt/vilnius/index.html#stop/4025,,,
16725,,"Savičiūnų st.","link centro",54.65450,25.35330,https://www.stops.lt/vilnius/index.html#stop/4026,,,
9593,,"Kalnėnai","iš miesto",54.65460,25.33164,https://www.stops.lt/vilnius/index.html#stop/4016,,,
9659,,"Kalnėnai","link miesto",54.65453,25.33125,https://www.stops.lt/vilnius/index.html#stop/4020,,,
10614,,"Tautų st.","link miesto",54.65117,25.32442,https://www.stops.lt/vilnius/index.html#stop/4021,,,
16920,,"Tautų st.","iš centro",54.65056,25.32347,https://www.stops.lt/vilnius/index.html#stop/4022,,,
9599,,"Juodupio st.","link centro",54.65328,25.34091,https://www.stops.lt/vilnius/index.html#stop/4017,,,
9600,,"Juodupio st.","link Gurių",54.65322,25.34072,https://www.stops.lt/vilnius/index.html#stop/4018,,,
5651,,"Karoliniškės","link Lazdynų",54.69244,25.21631,https://www.stops.lt/vilnius/index.html#stop/1707,,,
6649,,"Karoliniškės","link Viršuliškių",54.69279,25.21733,https://www.stops.lt/vilnius/index.html#stop/1706,,,
5646,,"Laisvės prospektas","iš centro",54.69635,25.21992,https://www.stops.lt/vilnius/index.html#stop/1703,,,
6643,,"Laisvės prospektas","link centro",54.69752,25.22123,https://www.stops.lt/vilnius/index.html#stop/1702,,,
1004,,"Televizijos bokštas","link Viršuliškių",54.69092,25.21486,https://www.stops.lt/vilnius/index.html#stop/1708,,,
5656,,"Televizijos bokštas","link Lazdynų",54.68996,25.21260,https://www.stops.lt/vilnius/index.html#stop/1709,,,
1071,,"Vaivorykštės st.","link Viršuliškių",54.68519,25.20766,https://www.stops.lt/vilnius/index.html#stop/1714,,,
5668,,"Vaivorykštės st.","link Lazdynų",54.68430,25.20695,https://www.stops.lt/vilnius/index.html#stop/1715,,,
351,,"Atminties st.","link centro",54.68715,25.20713,https://www.stops.lt/vilnius/index.html#stop/1712,,,
5920,,"Atminties st.","iš centro",54.68674,25.20650,https://www.stops.lt/vilnius/index.html#stop/1713,,,
596,,"Karoliniškių poliklinika","link centro",54.69344,25.21524,https://www.stops.lt/vilnius/index.html#stop/1705,,,
